-----------               1       -----------               -1        ROOT                No   program                       
type                      9       TK_TYPE                   -1   declaration         Yes       TK_TYPE                       
-----------               27      -----------               -1        declaration         No   dataType                      
-----------               -1      -----------               -1        dataType            No   primitiveDatatype             
real                      9       TK_REAL                   -1   primitiveDatatype   Yes       TK_REAL                       
:                         9       TK_COLON                  -1   declaration         Yes       TK_COLON                      
c4bbb                     9       TK_ID                     -1   declaration         Yes       TK_ID                         
-----------               30      -----------               -1        declaration         No   global_or_not                 
eps                       -1      eps                       -1   global_or_not       Yes       eps                           
;                         9       TK_SEM                    -1   declaration         Yes       TK_SEM                        
-----------               31      -----------               -1        declarations        No   declarations                  
eps                       -1      eps                       -1   declarations        Yes       eps                           
-----------               32      -----------               -1        stmts               No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   assignmentStmt                
-----------               -1      -----------               -1        assignmentStmt      No   SingleOrRecId                 
c6                        10      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               32      -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
<---                      10      TK_ASSIGNOP               -1   assignmentStmt      Yes       TK_ASSIGNOP                   
-----------               33      -----------               -1        assignmentStmt      No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
5000.79                   10      TK_RNUM                   5000.79all                 Yes       TK_RNUM                       
-----------               34      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               35      -----------               -1        arithmeticExpressionNo   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
;                         10      TK_SEM                    -1   assignmentStmt      Yes       TK_SEM                        
-----------               35      -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   assignmentStmt                
-----------               -1      -----------               -1        assignmentStmt      No   SingleOrRecId                 
d4cbcd5677                11      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               36      -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
<---                      11      TK_ASSIGNOP               -1   assignmentStmt      Yes       TK_ASSIGNOP                   
-----------               37      -----------               -1        assignmentStmt      No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
(                         11      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               38      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
(                         11      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               39      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
c3                        11      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               40      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               41      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               41      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
+                         11      TK_PLUS                   -1   lowPrecedenceOperatorsYes       TK_PLUS                       
-----------               41      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
2                         11      TK_NUM                    2    all                 Yes       TK_NUM                        
-----------               42      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
*                         11      TK_MUL                    -1   highPrecedenceOperatorsYes       TK_MUL                        
-----------               43      -----------               -1        termPrime           No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
c4                        11      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               44      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               45      -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               45      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         11      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               45      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               46      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
-                         11      TK_MINUS                  -1   lowPrecedenceOperatorsYes       TK_MINUS                      
-----------               46      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
(                         11      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               47      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
c5                        11      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               48      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               49      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               49      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
-                         11      TK_MINUS                  -1   lowPrecedenceOperatorsYes       TK_MINUS                      
-----------               49      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
5                         11      TK_NUM                    5    all                 Yes       TK_NUM                        
-----------               50      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               51      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         11      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               51      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               52      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         11      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               52      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
/                         11      TK_DIV                    -1   highPrecedenceOperatorsYes       TK_DIV                        
-----------               53      -----------               -1        termPrime           No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
4                         11      TK_NUM                    4    all                 Yes       TK_NUM                        
-----------               54      -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               55      -----------               -1        arithmeticExpressionNo   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
;                         11      TK_SEM                    -1   assignmentStmt      Yes       TK_SEM                        
-----------               55      -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   assignmentStmt                
-----------               -1      -----------               -1        assignmentStmt      No   SingleOrRecId                 
c4bbb                     12      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               56      -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
<---                      12      TK_ASSIGNOP               -1   assignmentStmt      Yes       TK_ASSIGNOP                   
-----------               57      -----------               -1        assignmentStmt      No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
(                         12      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               58      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
(                         12      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               59      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
d4cbcd5677                12      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               60      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               61      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               61      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
-                         12      TK_MINUS                  -1   lowPrecedenceOperatorsYes       TK_MINUS                      
-----------               61      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
2.35                      12      TK_RNUM                   2.35 all                 Yes       TK_RNUM                       
-----------               62      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               63      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         12      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               63      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
*                         12      TK_MUL                    -1   highPrecedenceOperatorsYes       TK_MUL                        
-----------               64      -----------               -1        termPrime           No   factor                        
(                         12      TK_OP                     -1   factor              Yes       TK_OP                         
-----------               65      -----------               -1        factor              No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
2345                      12      TK_NUM                    2345 all                 Yes       TK_NUM                        
-----------               66      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               67      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
-                         12      TK_MINUS                  -1   lowPrecedenceOperatorsYes       TK_MINUS                      
-----------               67      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
234                       12      TK_NUM                    234  all                 Yes       TK_NUM                        
-----------               68      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
*                         12      TK_MUL                    -1   highPrecedenceOperatorsYes       TK_MUL                        
-----------               69      -----------               -1        termPrime           No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
8                         12      TK_NUM                    8    all                 Yes       TK_NUM                        
-----------               70      -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               71      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         12      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               71      -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               72      -----------               -1        arithmeticExpressionNo   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
)                         12      TK_CL                     -1   factor              Yes       TK_CL                         
-----------               72      -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               73      -----------               -1        arithmeticExpressionNo   expPrime                      
-----------               -1      -----------               -1        expPrime            No   lowPrecedenceOperators        
+                         12      TK_PLUS                   -1   lowPrecedenceOperatorsYes       TK_PLUS                       
-----------               73      -----------               -1        expPrime            No   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
5                         12      TK_NUM                    5    all                 Yes       TK_NUM                        
-----------               74      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
*                         12      TK_MUL                    -1   highPrecedenceOperatorsYes       TK_MUL                        
-----------               75      -----------               -1        termPrime           No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
c3                        12      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               76      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               77      -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               77      -----------               -1        expPrime            No   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
;                         12      TK_SEM                    -1   assignmentStmt      Yes       TK_SEM                        
-----------               77      -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   conditionalStmt               
if                        13      TK_IF                     -1   conditionalStmt     Yes       TK_IF                         
(                         13      TK_OP                     -1   conditionalStmt     Yes       TK_OP                         
-----------               79      -----------               -1        conditionalStmt     No   booleanExpression             
(                         13      TK_OP                     -1   booleanExpression   Yes       TK_OP                         
-----------               80      -----------               -1        booleanExpression   No   booleanExpression             
~                         13      TK_NOT                    -1   booleanExpression   Yes       TK_NOT                        
(                         13      TK_OP                     -1   booleanExpression   Yes       TK_OP                         
-----------               82      -----------               -1        booleanExpression   No   booleanExpression             
-----------               -1      -----------               -1        booleanExpression   No   var                           
c4bbb                     13      TK_ID                     -1   var                 Yes       TK_ID                         
-----------               83      -----------               -1        booleanExpression   No   relationalOp                  
==                        13      TK_EQ                     -1   relationalOp        Yes       TK_EQ                         
-----------               84      -----------               -1        booleanExpression   No   var                           
0                         13      TK_NUM                    0    var                 Yes       TK_NUM                        
)                         13      TK_CL                     -1   booleanExpression   Yes       TK_CL                         
)                         13      TK_CL                     -1   booleanExpression   Yes       TK_CL                         
-----------               87      -----------               -1        booleanExpression   No   logicalOp                     
&&&                       13      TK_AND                    -1   logicalOp           Yes       TK_AND                        
(                         13      TK_OP                     -1   booleanExpression   Yes       TK_OP                         
-----------               89      -----------               -1        booleanExpression   No   booleanExpression             
-----------               -1      -----------               -1        booleanExpression   No   var                           
c4bbb                     13      TK_ID                     -1   var                 Yes       TK_ID                         
-----------               90      -----------               -1        booleanExpression   No   relationalOp                  
>                         13      TK_GT                     -1   relationalOp        Yes       TK_GT                         
-----------               91      -----------               -1        booleanExpression   No   var                           
78.56                     13      TK_RNUM                   78.56var                 Yes       TK_RNUM                       
)                         13      TK_CL                     -1   booleanExpression   Yes       TK_CL                         
)                         13      TK_CL                     -1   conditionalStmt     Yes       TK_CL                         
then                      14      TK_THEN                   -1   conditionalStmt     Yes       TK_THEN                       
-----------               95      -----------               -1        conditionalStmt     No   stmt                          
-----------               -1      -----------               -1        stmt                No   assignmentStmt                
-----------               -1      -----------               -1        assignmentStmt      No   SingleOrRecId                 
c6                        15      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               96      -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
<---                      15      TK_ASSIGNOP               -1   assignmentStmt      Yes       TK_ASSIGNOP                   
-----------               97      -----------               -1        assignmentStmt      No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
d4cbcd5677                15      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               98      -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               99      -----------               -1        term                No   termPrime                     
-----------               -1      -----------               -1        termPrime           No   highPrecedenceOperators       
/                         15      TK_DIV                    -1   highPrecedenceOperatorsYes       TK_DIV                        
-----------               99      -----------               -1        termPrime           No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
c4bbb                     15      TK_ID                     -1   all                 Yes       TK_ID                         
-----------               100     -----------               -1        all                 No   temp1                         
eps                       -1      eps                       -1   temp1               Yes       eps                           
-----------               101     -----------               -1        termPrime           No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               101     -----------               -1        arithmeticExpressionNo   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
;                         15      TK_SEM                    -1   assignmentStmt      Yes       TK_SEM                        
-----------               101     -----------               -1        conditionalStmt     No   otherStmts                    
eps                       -1      eps                       -1   otherStmts          Yes       eps                           
-----------               102     -----------               -1        conditionalStmt     No   conditionalSuffix             
else                      16      TK_ELSE                   -1   conditionalSuffix   Yes       TK_ELSE                       
-----------               102     -----------               -1        conditionalSuffix   No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   ioStmt                        
write                     17      TK_WRITE                  -1   ioStmt              Yes       TK_WRITE                      
(                         17      TK_OP                     -1   ioStmt              Yes       TK_OP                         
-----------               104     -----------               -1        ioStmt              No   allVar                        
c4bbb                     17      TK_ID                     -1   allVar              Yes       TK_ID                         
-----------               105     -----------               -1        allVar              No   allVarNext                    
eps                       -1      eps                       -1   allVarNext          Yes       eps                           
)                         17      TK_CL                     -1   ioStmt              Yes       TK_CL                         
;                         17      TK_SEM                    -1   ioStmt              Yes       TK_SEM                        
-----------               107     -----------               -1        otherStmts          No   otherStmts                    
eps                       -1      eps                       -1   otherStmts          Yes       eps                           
endif                     18      TK_ENDIF                  -1   conditionalSuffix   Yes       TK_ENDIF                      
-----------               108     -----------               -1        otherStmts          No   otherStmts                    
eps                       -1      eps                       -1   otherStmts          Yes       eps                           
-----------               109     -----------               -1        stmts               No   returnStmt                    
return                    20      TK_RETURN                 -1   returnStmt          Yes       TK_RETURN                     
-----------               109     -----------               -1        returnStmt          No   optionalReturn                
[                         20      TK_SQL                    -1   optionalReturn      Yes       TK_SQL                        
-----------               110     -----------               -1        optionalReturn      No   idList                        
c6                        20      TK_ID                     -1   idList              Yes       TK_ID                         
-----------               111     -----------               -1        idList              No   more_ids                      
eps                       -1      eps                       -1   more_ids            Yes       eps                           
]                         20      TK_SQR                    -1   optionalReturn      Yes       TK_SQR                        
;                         20      TK_SEM                    -1   returnStmt          Yes       TK_SEM                        
end                       21      TK_END                    -1   function            Yes       TK_END                        
-----------               114     -----------               -1        otherFunctions      No   otherFunctions                
eps                       -1      eps                       -1   otherFunctions      Yes       eps                           
-----------               115     -----------               -1        program             No   mainFunction                  
_main                     25      TK_MAIN                   -1   mainFunction        Yes       TK_MAIN                       
-----------               115     -----------               -1        mainFunction        No   stmts                         
-----------               -1      -----------               -1        stmts               No   typeDefinitions               
eps                       -1      eps                       -1   typeDefinitions     Yes       eps                           
-----------               116     -----------               -1        stmts               No   declarations                  
-----------               -1      -----------               -1        declarations        No   declaration                   
type                      26      TK_TYPE                   -1   declaration         Yes       TK_TYPE                       
-----------               116     -----------               -1        declaration         No   dataType                      
-----------               -1      -----------               -1        dataType            No   primitiveDatatype             
int                       26      TK_INT                    -1   primitiveDatatype   Yes       TK_INT                        
:                         26      TK_COLON                  -1   declaration         Yes       TK_COLON                      
b5                        26      TK_ID                     -1   declaration         Yes       TK_ID                         
-----------               119     -----------               -1        declaration         No   global_or_not                 
eps                       -1      eps                       -1   global_or_not       Yes       eps                           
;                         26      TK_SEM                    -1   declaration         Yes       TK_SEM                        
-----------               120     -----------               -1        declarations        No   declarations                  
-----------               -1      -----------               -1        declarations        No   declaration                   
type                      27      TK_TYPE                   -1   declaration         Yes       TK_TYPE                       
-----------               121     -----------               -1        declaration         No   dataType                      
-----------               -1      -----------               -1        dataType            No   primitiveDatatype             
int                       27      TK_INT                    -1   primitiveDatatype   Yes       TK_INT                        
:                         27      TK_COLON                  -1   declaration         Yes       TK_COLON                      
d5cb34567                 27      TK_ID                     -1   declaration         Yes       TK_ID                         
-----------               124     -----------               -1        declaration         No   global_or_not                 
eps                       -1      eps                       -1   global_or_not       Yes       eps                           
;                         27      TK_SEM                    -1   declaration         Yes       TK_SEM                        
-----------               125     -----------               -1        declarations        No   declarations                  
-----------               -1      -----------               -1        declarations        No   declaration                   
type                      28      TK_TYPE                   -1   declaration         Yes       TK_TYPE                       
-----------               126     -----------               -1        declaration         No   dataType                      
-----------               -1      -----------               -1        dataType            No   primitiveDatatype             
int                       28      TK_INT                    -1   primitiveDatatype   Yes       TK_INT                        
:                         28      TK_COLON                  -1   declaration         Yes       TK_COLON                      
b3b444                    28      TK_ID                     -1   declaration         Yes       TK_ID                         
-----------               129     -----------               -1        declaration         No   global_or_not                 
:                         28      TK_COLON                  -1   global_or_not       Yes       TK_COLON                      
global                    28      TK_GLOBAL                 -1   global_or_not       Yes       TK_GLOBAL                     
;                         28      TK_SEM                    -1   declaration         Yes       TK_SEM                        
-----------               132     -----------               -1        declarations        No   declarations                  
-----------               -1      -----------               -1        declarations        No   declaration                   
type                      29      TK_TYPE                   -1   declaration         Yes       TK_TYPE                       
-----------               133     -----------               -1        declaration         No   dataType                      
-----------               -1      -----------               -1        dataType            No   primitiveDatatype             
real                      29      TK_REAL                   -1   primitiveDatatype   Yes       TK_REAL                       
:                         29      TK_COLON                  -1   declaration         Yes       TK_COLON                      
c3                        29      TK_ID                     -1   declaration         Yes       TK_ID                         
-----------               136     -----------               -1        declaration         No   global_or_not                 
eps                       -1      eps                       -1   global_or_not       Yes       eps                           
;                         29      TK_SEM                    -1   declaration         Yes       TK_SEM                        
-----------               137     -----------               -1        declarations        No   declarations                  
eps                       -1      eps                       -1   declarations        Yes       eps                           
-----------               138     -----------               -1        stmts               No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   assignmentStmt                
-----------               -1      -----------               -1        assignmentStmt      No   SingleOrRecId                 
b5                        30      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               138     -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
<---                      30      TK_ASSIGNOP               -1   assignmentStmt      Yes       TK_ASSIGNOP                   
-----------               139     -----------               -1        assignmentStmt      No   arithmeticExpression          
-----------               -1      -----------               -1        arithmeticExpressionNo   term                          
-----------               -1      -----------               -1        term                No   factor                        
-----------               -1      -----------               -1        factor              No   all                           
1                         30      TK_NUM                    1    all                 Yes       TK_NUM                        
-----------               140     -----------               -1        term                No   termPrime                     
eps                       -1      eps                       -1   termPrime           Yes       eps                           
-----------               141     -----------               -1        arithmeticExpressionNo   expPrime                      
eps                       -1      eps                       -1   expPrime            Yes       eps                           
;                         30      TK_SEM                    -1   assignmentStmt      Yes       TK_SEM                        
-----------               141     -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   ioStmt                        
read                      31      TK_READ                   -1   ioStmt              Yes       TK_READ                       
(                         31      TK_OP                     -1   ioStmt              Yes       TK_OP                         
-----------               143     -----------               -1        ioStmt              No   SingleOrRecId                 
d5cb34567                 31      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               144     -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
)                         31      TK_CL                     -1   ioStmt              Yes       TK_CL                         
;                         31      TK_SEM                    -1   ioStmt              Yes       TK_SEM                        
-----------               146     -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   ioStmt                        
read                      32      TK_READ                   -1   ioStmt              Yes       TK_READ                       
(                         32      TK_OP                     -1   ioStmt              Yes       TK_OP                         
-----------               148     -----------               -1        ioStmt              No   SingleOrRecId                 
b3b444                    32      TK_ID                     -1   SingleOrRecId       Yes       TK_ID                         
-----------               149     -----------               -1        SingleOrRecId       No   new_24                        
eps                       -1      eps                       -1   new_24              Yes       eps                           
)                         32      TK_CL                     -1   ioStmt              Yes       TK_CL                         
;                         32      TK_SEM                    -1   ioStmt              Yes       TK_SEM                        
-----------               151     -----------               -1        otherStmts          No   otherStmts                    
-----------               -1      -----------               -1        otherStmts          No   stmt                          
-----------               -1      -----------               -1        stmt                No   funCallStmt                   
-----------               -1      -----------               -1        funCallStmt         No   outputParameters              
[                         34      TK_SQL                    -1   outputParameters    Yes       TK_SQL                        
